"time","e","omega","d","r","kappa","g","g_n","theta","lambda_tilt","denom","f","Ztilde","y_pc","y_pc_0","y_pc_norm"
137,1.06964374415249,0.843930459401229,1.02238869528142,0.0383913309291714,0.147587204519206,0.0291957348397353,0.03,0.506434121282118,0.585114025799157,-0.0049547551851426,2.23767291160273,0.999996630072876,15.486985080853,0.904422758117071,17.1236127594749
137.05,1.06960350952389,0.843930462235192,1.02251687883931,0.038389620870412,0.147584640095456,0.0291948800318186,0.03,0.506440959745452,0.585120556301801,-0.00495390037722585,2.23795330844487,0.999996643813602,15.5024798120082,0.904422758117071,17.1407449368954
137.1,1.06956323215748,0.843930465057581,1.02264504727315,0.0383879110171643,0.147582075981305,0.0291940253271017,0.03,0.506447797383186,0.585127085972101,-0.004953045672509,2.23823376782272,0.999996657499885,15.5179900456445,0.904422758117071,17.1578942550623
137.15,1.0695229120584,0.843930467868443,1.02277320059535,0.0383862013692477,0.147579512176484,0.0291931707254948,0.03,0.506454634196042,0.58513361481076,-0.00495219107090208,2.23851428978086,0.999996671131937,15.5335157972721,0.904422758117071,17.1750607311248
137.2,1.06948254923182,0.843930470667823,1.02290133881832,0.0383844919264814,0.147576948680724,0.0291923162269078,0.03,0.506461470184737,0.585140142818481,-0.00495133657231514,2.23879487436391,0.999996684709967,15.5490570824168,0.904422758117071,17.1922443822495
137.25,1.06944214368289,0.843930473455767,1.02302946195444,0.0383827826886851,0.147574385493753,0.0291914618312509,0.03,0.506468305349993,0.58514666999597,-0.00495048217665824,2.23907552161655,0.999996698234186,15.56461391662,0.904422758117071,17.2094452256201
137.3,1.06940169541674,0.84393047623232,1.02315757001613,0.0383810736556782,0.147571822615303,0.0291906075384343,0.03,0.506475139692526,0.585153196343926,-0.00494962788384156,2.23935623158344,0.999996711704802,15.5801863154383,0.904422758117071,17.2266632784373
137.35,1.06936120443852,0.843930478997528,1.02328566301577,0.0383793648272805,0.147569260045104,0.029189753348368,0.03,0.506481973213056,0.585159721863054,-0.00494877369377531,2.23963700430926,0.999996725122022,15.5957742944442,0.904422758117071,17.2438985579192
137.4,1.06932067075337,0.843930481751435,1.02341374096575,0.0383776562033118,0.147566697782887,0.0291888992609624,0.03,0.5064888059123,0.585166246554055,-0.00494791960636974,2.23991783983876,0.999996738486053,15.6113778692258,0.904422758117071,17.2611510813011
137.45,1.06928009436641,0.843930484494085,1.02354180387846,0.0383759477835921,0.147564135828384,0.0291880452761279,0.03,0.506495637790977,0.58517277041763,-0.00494706562153518,2.24019873821667,0.999996751797102,15.6269970553865,0.904422758117071,17.2784208658355
137.5,1.06923947528277,0.843930487225525,1.02366985176628,0.0383742395679414,0.147561574181324,0.0291871913937747,0.03,0.506502468849802,0.585179293454481,-0.00494621173918199,2.24047969948779,0.999996765055375,15.6426318685455,0.904422758117071,17.2957079287922
137.55,1.06919881350758,0.843930489945797,1.02379788464158,0.0383725315561798,0.14755901284144,0.0291863376138133,0.03,0.506509299089493,0.585185815665307,-0.00494535795922061,2.24076072369691,0.999996778261074,15.6582823243378,0.904422758117071,17.3130122874583
137.6,1.06915810904594,0.843930492654948,1.02392590251674,0.0383708237481276,0.147556451808463,0.0291854839361542,0.03,0.506516128510766,0.585192337050809,-0.00494450428156149,2.24104181088885,0.999996791414405,15.6739484384136,0.904422758117071,17.3303339591381
137.65,1.06911736190298,0.843930495353019,1.02405390540414,0.038369116143605,0.147553891082124,0.0291846303607079,0.03,0.506522957114337,0.585198857611686,-0.00494365070611516,2.24132296110848,0.999996804515571,15.6896302264393,0.904422758117071,17.3476729611534
