"time","e","omega","d","u","r","kappa","gK","gY","Delta","u_d","gU","rho","chiA","chiN","xi"
300.2,0.841584090597669,0.892901439055203,0.974414450787973,0.87877174677179,0.0227073276377593,0.0978026690280827,0.0126008896760276,0.0126008896760276,0.656807605126428,0.873924107333549,-0.0110327612512568,3.41385577201434,4.38827022280231,-0.974414450787973,4.50349460566156
300.25,0.840850849821772,0.893085474526155,0.975286355876803,0.878290473417099,0.022634357079591,0.0976007533845681,0.0125335844615227,0.0125335844615227,0.657116992021993,0.873512642297932,-0.0108798427485567,3.41572644905065,4.39101280492745,-0.975286355876803,4.50228056454234
300.3,0.840115442169565,0.893266268168743,0.976161819692313,0.877816179827165,0.0225624196811882,0.0974019080677232,0.0124673026892411,0.0124673026892411,0.65742143131631,0.873108135295679,-0.0107267207866077,3.41757200304815,4.39373382274046,-0.976161819692313,4.50103019202838
300.35,0.83937791742665,0.893443808430254,0.977040794168726,0.877348863713252,0.0224915199343324,0.0972061369886007,0.0124020456628669,0.0124020456628669,0.657720912295276,0.872710581752506,-0.0105734039276345,3.41939235813555,4.39643315230427,-0.977040794168726,4.49974369396192
300.4,0.838638325296286,0.893618084008101,0.977923230630877,0.876888522562303,0.0224216622555545,0.0970134438781233,0.0123378146260411,0.0123378146260411,0.658015424570827,0.872319976958558,-0.0104199005602122,3.42118744037598,4.39911067100686,-0.977923230630877,4.49842128013352
300.45,0.837896715394879,0.893789083850093,0.978809079798481,0.876435153647234,0.0223528509859892,0.0968238322914953,0.0122746107638318,0.0122746107638318,0.658304958076704,0.87193631607605,-0.0102662189038452,3.42295717773947,4.40176625753796,-0.978809079798481,4.49706316419153
300.5,0.837153137248438,0.893956797154598,0.979698291789888,0.875988754034799,0.0222850903912687,0.0966373056126722,0.0122124352042241,0.0122124352042241,0.658589503064099,0.871559594146969,-0.0101123670079755,3.42470150008435,4.40439979187424,-0.979698291789888,4.49566956356278
300.55,0.836407640289496,0.894121213370666,0.980590816125723,0.875549320592778,0.0222183846614351,0.0964538670588293,0.0121512890196098,0.0121512890196098,0.65886905009728,0.871189806100698,-0.00995835274962911,3.4264203391408,4.40701115526652,-0.980590816125723,4.49424069937596
300.6,0.835660273853562,0.89428232219816,0.98148660173317,0.875116849998564,0.0221527379108378,0.096273519684734,0.0120911732282447,0.0120911732282447,0.659143590049314,0.870826946761413,-0.00980418383478475,3.42811362848849,4.40960023022167,-0.98148660173317,4.49277679637696
300.65,0.834911087175253,0.894440113587895,0.982385596950797,0.874691338748538,0.0220881541780244,0.0960962663870466,0.0120320887956822,0.0120320887956822,0.659413114097865,0.870471010855286,-0.00964986780203046,3.42978130353073,4.41216690048153,-0.982385596950797,4.4912780828387
