r0,lambda,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.01,67.58992805755395,TRUE,NA,-0.03252997601918465,0.03649856115107913,0.001094956834532373,-0.0022822541535117216,FALSE,FALSE
0.01,68.63309352517985,TRUE,NA,-0.03287769784172661,0.03706187050359711,0.0011118561151079124,-0.0023303650949743782,FALSE,FALSE
0.01,69.67625899280576,TRUE,NA,-0.033225419664268584,0.03762517985611511,0.001128755395683453,-0.002378867786346462,FALSE,FALSE
0.01,70.71942446043165,TRUE,NA,-0.03357314148681056,0.038188489208633096,0.001145654676258993,-0.0024277622276279703,FALSE,FALSE
0.01,71.76258992805755,TRUE,NA,-0.03392086330935252,0.038751798561151074,0.001162553956834533,-0.0024770484188189022,FALSE,FALSE
0.01,72.80575539568345,TRUE,NA,-0.034268585131894486,0.03931510791366906,0.0011794532374100727,-0.0025267263599192593,FALSE,FALSE
0.01,73.84892086330935,TRUE,NA,-0.034616306954436474,0.039878417266187044,0.001196352517985612,-0.0025767960509290424,FALSE,FALSE
0.01,74.89208633093524,TRUE,NA,-0.034964028776978434,0.04044172661870503,0.001213251798561152,-0.0026272574918482492,FALSE,FALSE
0.01,75.93525179856115,TRUE,NA,-0.03531175059952042,0.04100503597122302,0.0012301510791366903,-0.002678110682676881,FALSE,FALSE
0.01,76.97841726618705,TRUE,NA,-0.03565947242206237,0.041568345323741,0.0012470503597122305,-0.002729355623414938,FALSE,FALSE
0.01,78.02158273381295,TRUE,NA,-0.03600719424460433,0.04213165467625899,0.0012639496402877695,-0.0027809923140624192,FALSE,FALSE
0.01,79.06474820143885,TRUE,NA,-0.0363549160671463,0.04269496402877697,0.0012808489208633094,-0.0028330207546193266,FALSE,FALSE
0.01,80.10791366906474,TRUE,NA,-0.036702637889688264,0.04325827338129496,0.00129774820143885,-0.0028854409450856594,FALSE,FALSE
0.01,81.15107913669064,TRUE,NA,-0.03705035971223024,0.04382158273381294,0.0013146474820143882,-0.0029382528854614153,FALSE,FALSE
0.01,82.19424460431654,TRUE,NA,-0.03739808153477221,0.04438489208633093,0.0013315467625899266,-0.0029914565757465966,FALSE,FALSE
0.01,83.23741007194245,TRUE,NA,-0.03774580335731419,0.04494820143884892,0.0013484460431654672,-0.0030450520159412053,FALSE,FALSE
0.01,84.28057553956835,TRUE,NA,-0.03809352517985613,0.0455115107913669,0.0013653453237410082,-0.0030990392060452373,FALSE,FALSE
0.01,85.32374100719424,TRUE,NA,-0.03844124700239809,0.04607482014388489,0.0013822446043165477,-0.003153418146058694,FALSE,FALSE
0.01,86.36690647482014,TRUE,NA,-0.03878896882494007,0.04663812949640287,0.0013991438848920874,-0.0032081888359815763,FALSE,FALSE
0.01,87.41007194244604,TRUE,NA,-0.03913669064748204,0.04720143884892086,0.0014160431654676262,-0.003263351275813883,FALSE,FALSE
0.01,88.45323741007194,TRUE,NA,-0.039484412470024,0.04776474820143884,0.0014329424460431677,-0.0033189054655556162,FALSE,FALSE
0.01,89.49640287769783,TRUE,NA,-0.03983213429256598,0.04832805755395682,0.0014498417266187054,-0.003374851405206771,FALSE,FALSE
0.01,90.53956834532374,TRUE,NA,-0.04017985611510795,0.04889136690647482,0.0014667410071942436,-0.0034311890947673522,FALSE,FALSE
0.01,91.58273381294964,TRUE,NA,-0.040527577937649925,0.049454676258992795,0.0014836402877697837,-0.0034879185342373597,FALSE,FALSE
0.01,92.62589928057554,TRUE,NA,-0.04087529976019186,0.05001798561151079,0.0015005395683453245,-0.0035450397236167913,FALSE,FALSE
0.01,93.66906474820144,TRUE,NA,-0.04122302158273383,0.050581294964028765,0.0015174388489208647,-0.003602552662905649,FALSE,FALSE
0.01,94.71223021582733,TRUE,NA,-0.041570743405275806,0.05114460431654675,0.0015343381294964024,-0.0036604573521039287,FALSE,FALSE
0.01,95.75539568345323,TRUE,NA,-0.04191846522781778,0.051707913669064735,0.0015512374100719421,-0.003718753791211636,FALSE,FALSE
0.01,96.79856115107913,TRUE,NA,-0.04226618705035973,0.05227122302158272,0.0015681366906474827,-0.0037774419802287674,FALSE,FALSE
0.01,97.84172661870504,TRUE,NA,-0.04261390887290173,0.05283453237410072,0.0015850359712230202,-0.0038365219191553246,FALSE,FALSE
0.01,98.88489208633094,TRUE,NA,-0.0429616306954437,0.0533978417266187,0.0016019352517985595,-0.003895993607991306,FALSE,FALSE
0.01,99.92805755395683,TRUE,NA,-0.04330935251798562,0.053961151079136675,0.0016188345323741003,-0.003955857046736711,FALSE,FALSE
0.01,100.97122302158273,TRUE,NA,-0.043657074340527596,0.05452446043165467,0.001635733812949641,-0.004016112235391544,FALSE,FALSE
0.01,102.01438848920863,TRUE,NA,-0.04400479616306957,0.055087769784172645,0.0016526330935251788,-0.004076759173955799,FALSE,FALSE
0.01,103.05755395683452,TRUE,NA,-0.044352517985611545,0.05565107913669064,0.0016695323741007205,-0.004137797862429483,FALSE,FALSE
0.01,104.10071942446042,TRUE,NA,-0.04470023980815349,0.056214388489208615,0.0016864316546762596,-0.004199228300812588,FALSE,FALSE
0.01,105.14388489208633,TRUE,NA,-0.04504796163069549,0.05677769784172661,0.0017033309352517964,-0.004261050489105119,FALSE,FALSE
0.01,106.18705035971223,TRUE,NA,-0.04539568345323747,0.05734100719424459,0.0017202302158273372,-0.004323264427307077,FALSE,FALSE
0.01,107.23021582733813,TRUE,NA,-0.045743405275779386,0.05790431654676258,0.0017371294964028785,-0.004385870115418458,FALSE,FALSE
0.01,108.27338129496403,TRUE,NA,-0.04609112709832136,0.05846762589928056,0.0017540287769784175,-0.004448867553439264,FALSE,FALSE
0.01,109.31654676258992,TRUE,NA,-0.046438848920863335,0.05903093525179855,0.0017709280575539576,-0.004512256741369496,FALSE,FALSE
