sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H
2,0,0.051000000000000004,-0,0.051000000000000004,0.8,0.8723330621848767,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.937562536903872,0.99999134806723,0.018891954859628413,0.7604250505204817,-0.007847765215906166,0.5774720588362386,0.017321147910161993,-0.021853013046654747
2,0,0.051000000000000004,-0,0.051000000000000004,0.8500000000000001,0.925524091337389,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.937562536903872,0.99999134806723,0.01882935533591315,0.7832348692877761,-0.0077190336140666085,0.61268391545468,0.018377315242782414,-0.023106642980975034
2,0,0.051000000000000004,-0,0.051000000000000004,0.9,0.9787151204899012,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.937562536903872,0.99999134806723,0.018766564792027984,0.8053989298145323,-0.007590302012227053,0.6478957720731213,0.01943348257540283,-0.024351207157882845
2,0,0.054,-0,0.054,0.5,0.5531901511268368,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,2.1845956600972625,0.9999974841184532,0.019697170272076972,0.6057637972368213,-0.009492136031208513,0.36615977893189594,0.010984208721968725,-0.014459847152747517
2,0,0.054,-0,0.054,0.55,0.6063815066650525,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.0196806320230579,0.6341589041392482,-0.009450602549795456,0.40136752153096805,0.012040382535342065,-0.015833547457727713
2,0,0.054,-0,0.054,0.6,0.659572862203268,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.01966341682681129,0.6613359094438066,-0.009409069068382401,0.43657526413003994,0.013096556348715404,-0.01720432316246224
2,0,0.054,-0,0.054,0.65,0.7127642177414838,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.019645675198432133,0.6874393073341206,-0.009367535586969346,0.471783006729112,0.01415273016208876,-0.018572174266951114
2,0,0.054,-0,0.054,0.7,0.7659555732796992,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.01962751610987097,0.7125870999260219,-0.00932600210555629,0.5069907493281838,0.01520890397546209,-0.019937100771194295
2,0,0.054,-0,0.054,0.75,0.8191469288179148,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.01960902039767308,0.7368771365029997,-0.009284468624143234,0.5421984919272558,0.016265077788835444,-0.02129910267519183
2,0,0.054,-0,0.054,0.8,0.8723382843561306,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,2.1845956600972625,0.9999974841184532,0.019590249292825185,0.7603916262828686,-0.009242935142730177,0.5774062345263279,0.017321251602208786,-0.022658179978943684
